trade_name,concentration,company,pharmaceutical_form,display_name
Predcortinal,1gm/vial,Cardinal Pharmaceutical,Powder for reconstitution for IM or IV injection in single use vial,Predcortinal 1gm/vial
Diagliflomet,0comb,Careval for pharmaceutical industries,Extended Release Tablet,Diagliflomet 0comb
Nilopenem,1gm,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Powder for solution for I.V.  Injection or infusion,Nilopenem 1gm
Zisrocin,500mg,Egyphar,Lyophilized Powder for Reconstitution for I.V Infusion,Zisrocin 500mg
Ivermictal 3mg,3mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Tablets,Ivermictal 3mg 3mg
Ivermictal  6 mg,6mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Unscored tablet,Ivermictal  6 mg 6mg
Fortada,20mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Film Coated Tablets,Fortada 20mg
Atrabesylate 50mg/5ml,10mg/ml,Egyptian Company for Health Care Products and Pharmaceutical Trading ( EGYPHARMA ),Solution for I.V injection \Infusion,Atrabesylate 50mg/5ml 10mg/ml
Gabapentin – Pharmastars  Pharmaceuticals 300 mg,300mg,PharmaStars Pharmaceuticals,Hard Gelatin Capsules,Gabapentin – Pharmastars  Pharmaceuticals 300 mg 300mg
Ceftriaxone - Riva Pharma 500 mg,500mg,RIVA PHARMA,Powder for Solution for I.M injection,Ceftriaxone - Riva Pharma 500 mg 500mg
Forteferol.,40000I.U.,Pyramid Pharma,Hard Gelatin Capsules,Forteferol. 40000I.U.
Zofran 4mg,0UnDefined,Glaxo smithkline,Tablets,Zofran 4mg 0UnDefined
Fibagrilin,2mg,Global Pharmaceutical Industries,Solution for injection,Fibagrilin 2mg
Globoleval,100mg/ml,Global NAPI Pharmaceuticals - GNP,Syrup,Globoleval 100mg/ml
Darupax,10mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Darupax 10mg
Demepezil 5mg,5mg,Pharmed health care,Film Coated Tablets,Demepezil 5mg 5mg
Diabride 6 mg,6mg,South Egypt Drug Industries Co (SEDICO),Tablets,Diabride 6 mg 6mg
Diflunazole,25mg/5ml,Chemical Industries Development (CID),Syrup,Diflunazole 25mg/5ml
Diradour,5mg,Hochster pharmaceutical industries,Film Coated Tablets,Diradour 5mg
Dopaminect 0.5mg,0.5mg,Marcyrl pharmaceutical industries - MPI,Tablets,Dopaminect 0.5mg 0.5mg
Dopaminect 1 mg,1mg,Marcyrl pharmaceutical industries - MPI,Tablets,Dopaminect 1 mg 1mg
Dronadex,400mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Dronadex 400mg
Effecturin,40mg,Western Pharmaceuticals Industries,Film Coated Tablets,Effecturin 40mg
Hasigo,10mg,Tetra Pharma CO LTD,Tablets,Hasigo 10mg
Emepitant 125 mg,125mg,Bio Med For Pharmaceutical Industries (BIOMED),Hard Gelatin Capsules,Emepitant 125 mg 125mg
Enoxirt 1 gm,1gm/vial,JULPHAR SCIENTIFIC OFFICE,Powder for Solution for I.V injection,Enoxirt 1 gm 1gm/vial
Enoxirt 500 mg,500mg/vial,JULPHAR SCIENTIFIC OFFICE,Powder for Solution for I.V injection,Enoxirt 500 mg 500mg/vial
Entecavir-Penta Pharma Egypt,0.25mg/5ml,penta pharma egypt,Oral Solution,Entecavir-Penta Pharma Egypt 0.25mg/5ml
Entecavir - Penta Pharma Egypt 1 mg,1mg,penta pharma egypt,Film Coated Tablets,Entecavir - Penta Pharma Egypt 1 mg 1mg
Entecavir - Penta Pharma Egypt 0.5mg,0.5mg,penta pharma egypt,Film Coated Tablets,Entecavir - Penta Pharma Egypt 0.5mg 0.5mg
Erdolytic,300mg,AL ANDALOUS MEDICAL COMPANY,Hard Gelatin Capsules,Erdolytic 300mg
Ergalepsia,800mg,zad industrial pharma,Tablets,Ergalepsia 800mg
Varnova,10mg,Heal pharmaceuticals,Film Coated Tablets,Varnova 10mg
Varnova,20mg,Heal pharmaceuticals,Film Coated Tablets,Varnova 20mg
Vasolow,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Film Coated Tablets,Vasolow 0comb
Vasolow,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Film Coated Tablets,Vasolow 0comb
Vasodarone,400mg,al andalous for pharmaceutical industries,Film Coated Tablets,Vasodarone 400mg
Vatorpix 35 mg,35mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Tablets,Vatorpix 35 mg 35mg
Vaxato 10 mg,10mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Vaxato 10 mg 10mg
Vildaformin,0comb,so value pharma,Film Coated Tablets,Vildaformin 0comb
Vilgat,50mg,Tabuk Pharmaceutical Manufacturing Co.Egypt - local under construction,Tablets,Vilgat 50mg
Visostine,0.5mg/ml,Chemipharm Pharmaceutical Industries,Ophthalmic Suspension,Visostine 0.5mg/ml
Vitiracetam 500 mg,500mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,Vitiracetam 500 mg 500mg
Vorigrand,40mg/ml,Delta grand pharma for pharmaceutical industries - DGP,dry powder for oral suspension,Vorigrand 40mg/ml
Ecalta,100mg/vial,Pfizer Biopharmaceuticals Egypt LLC,Powder for Concentrate for solution for i.v.Infusion,Ecalta 100mg/vial
Abilify 5mg,5mg,Egypt Otsuka Pharmaceutical,Tablets,Abilify 5mg 5mg
Adcoclindace,10mg/ml,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Topical Solution,Adcoclindace 10mg/ml
Adjustipine,2mg,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,Adjustipine 2mg
Adjustipine,4mg,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,Adjustipine 4mg
Akenpark,2mg,Chemipharm Pharmaceutical Industries,Tablets,Akenpark 2mg
Aldara,12.5mg/250mg,Viatris Egypt,Topical Cream,Aldara 12.5mg/250mg
Alergoliber 10mg,10mg,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Alergoliber 10mg 10mg
Alkapress trio,0comb,Hikma pharma,Film Coated Tablets,Alkapress trio 0comb
Amiprostone 8 mcg,8mcg,al andalous for pharmaceutical industries,Soft Gelatin Capsule,Amiprostone 8 mcg 8mcg
Amlosazide 5/12.5/20 mg,0comb,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Amlosazide 5/12.5/20 mg 0comb
Amricarnitine,1000mg/5ml,Amriya for Pharmaceutical Industries,solution for slow intravenous injection,Amricarnitine 1000mg/5ml
Amriflucan,2mg/ml,Amriya for Pharmaceutical Industries,Solution For I.V Infusion,Amriflucan 2mg/ml
Andofuryl,100mg,al andalous for pharmaceutical industries,Hard Gelatin Capsules,Andofuryl 100mg
Angiosorbide,20mg,International drug agency (IDA),Retard Capsule,Angiosorbide 20mg
Angiosorbide,40mg,International drug agency (IDA),Retard Capsule,Angiosorbide 40mg
Aptoful ® 5/12.5 mg,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,Aptoful ® 5/12.5 mg 0comb
Aptoful ® 10/25 mg,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,Aptoful ® 10/25 mg 0comb
Arbateg,200mg,Medizen pharmaceutical industries (Medizen),Extended Release Film Coated Tablets,Arbateg 200mg
Ariazole,15mg,Hochster pharmaceutical industries,Tablets,Ariazole 15mg
Arthricox,15mg,Chemical Industries Development (CID),Tablets,Arthricox 15mg
Asenapine-Hikma Pharma 5mg,5mg,Hikma pharma,Sublingual Tablet,Asenapine-Hikma Pharma 5mg 5mg
Asenapine-hikma pharma 10mg,10mg,Hikma pharma,Sublingual Tablet,Asenapine-hikma pharma 10mg 10mg
Aspirin - Chemipharm,75mg,Chemipharm Pharmaceutical Industries,Chewable Tablets,Aspirin - Chemipharm 75mg
Ator 80 mg,80mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Film Coated Tablets,Ator 80 mg 80mg
Atromix,0comb,Golden Life,Film Coated Tablets,Atromix 0comb
Averomilan 50 mg,50mg,AVERROES PHARMA for pharmaceutical industries,Film Coated Tablets,Averomilan 50 mg 50mg
Averopreg,100mg/5ml,AVERROES PHARMA for pharmaceutical industries,Oral Solution,Averopreg 100mg/5ml
Averozolid,2mg/ml,AVERROES PHARMA for pharmaceutical industries,Solution For I.V Infusion,Averozolid 2mg/ml
Avionol,4mg,Marcyrl pharmaceutical industries - MPI,Extended Release Film Coated Tablets,Avionol 4mg
Avionol,8mg,Marcyrl pharmaceutical industries - MPI,Extended Release Film Coated Tablets,Avionol 8mg
Bactirix,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Powder for solution for I.M or I.V Injection,Bactirix 0comb
Bastab,5mg/5ml,Spimaco Misr for pharmaceutical industries,Syrup,Bastab 5mg/5ml
Biofaximin 200 mg,200mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,Biofaximin 200 mg 200mg
Butacid,20mg/ml,Chemical Industries Development (CID),Solution for I.M and slow I.V Injection,Butacid 20mg/ml
Calcidense,0comb,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Calcidense 0comb
calmitof,50mg,SIGMA PHARMACEUTICAL INDUSTRIES,Tablets,calmitof 50mg
Candepressin 32mg,32mg,Liptis for Pharmaceuticals and Medical Products,Tablets,Candepressin 32mg 32mg
Caprivexin,500mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Extended Release Film Coated Tablets,Caprivexin 500mg
Carcemia,100mg,Hikma pharma,Film Coated Tablets,Carcemia 100mg
Carcemia,400mg,Hikma pharma,Film Coated Tablets,Carcemia 400mg
Cardionorm,150mg/3ml,HIKMA SPECIALIZED PHARMACEUTICALS,Concentrate For Solution For I.V Infusion,Cardionorm 150mg/3ml
Carledopa Plus,0comb,October Pharma,Film Coated Tablets,Carledopa Plus 0comb
Cartiswab,1000mg/10ml,Uniswab,Oral Liquid,Cartiswab 1000mg/10ml
Caviclude 0.5 mg,0.5mg,"Global Advanced pharmaceuticals ""GAP""",Film Coated Tablets,Caviclude 0.5 mg 0.5mg
Treczimus,0.3mg/gm,Marcyrl pharmaceutical industries - MPI,Topical Ointment,Treczimus 0.3mg/gm
Trexiptan,0comb,Mash for pharmaceutical Industries and cosmetic - mash premiere,Film Coated Tablets,Trexiptan 0comb
Tribatens 20/5/12.5 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Tribatens 20/5/12.5 mg 0comb
Tribatens 40/5/25 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Tribatens 40/5/25 mg 0comb
Tribatens 40/5/12.5 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Tribatens 40/5/12.5 mg 0comb
Tribatens 40/10/12.5 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Tribatens 40/10/12.5 mg 0comb
Tribatens 40/10/25 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,Tribatens 40/10/25 mg 0comb
Twynsta,0comb,Boehringer Ingelheim,Tablets,Twynsta 0comb
Twynsta,0comb,Boehringer Ingelheim,Tablets,Twynsta 0comb
Prednisolone- EVAPHARMA,20mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Oro-dispersible tablet,Prednisolone- EVAPHARMA 20mg
Urimagictam,15mg,Magic Pharma,Film Coated Tablets,Urimagictam 15mg
vandex,150mg,universal pharmaceutical industries (unipharma),Tablets,vandex 150mg
Tropiresten 2mg/2ml,2mg/2ml,Globe International Pharmaceuticals,Solution for slow I.V injection or  infusion,Tropiresten 2mg/2ml 2mg/2ml
Opranate 20/1680 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Oral Suspension,Opranate 20/1680 mg 0comb
Opranate 40/1680 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Powder for Oral Suspension,Opranate 40/1680 mg 0comb
Opranate 40/1100 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Hard Gelatin Capsules,Opranate 40/1100 mg 0comb
Opranate 20/1100 mg,0comb,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Hard Gelatin Capsules,Opranate 20/1100 mg 0comb
Orgoban,7.5mg,organo for pharmaceutical and chemical industries (organo pharma),Rectal Suppositories,Orgoban 7.5mg
Orgoroxaban 10 mg,10mg,organo for pharmaceutical and chemical industries (organo pharma),Film Coated Tablets,Orgoroxaban 10 mg 10mg
Oxaliplatin Hospira,5mg/ml,Pfizer Biopharmaceuticals Egypt LLC,Concentrate For Solution For I.V Infusion,Oxaliplatin Hospira 5mg/ml
Oxyfuryl,100mg,Tabuk Health care,Hard Gelatin Capsules,Oxyfuryl 100mg
Pampmax,0comb,Chemipharm Pharmaceutical Industries,Hard Gelatin Capsules,Pampmax 0comb
Panadol Cold and Flu Night Releif PE,0comb,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,Panadol Cold and Flu Night Releif PE 0comb
Pecoacnel,10mg/gm,Uniswab,Topical Cream,Pecoacnel 10mg/gm
Peridomagic,6mg,Magic Pharma,Extended Release Tablet,Peridomagic 6mg
Power B Complex,0comb,Chemipharm Pharmaceutical Industries,Solution for Injection/Infusion,Power B Complex 0comb
Pregavalex 25 mg,25mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Hard Gelatin Capsules,Pregavalex 25 mg 25mg
Pregavalex  50 mg,50mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Hard Gelatin Capsules,Pregavalex  50 mg 50mg
Prevet,2mg/5ml,pharaonia pharmaceuticals (pharo pharma),Oral Syrup,Prevet 2mg/5ml
Prismaven 50 mg,50mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Extended Release Film Coated Tablets,Prismaven 50 mg 50mg
Prismaven 100 mg,100mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Extended Release Film Coated Tablets,Prismaven 100 mg 100mg
Provaldix,1000mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,Provaldix 1000mg
Pulmiprove  62.5 mg,62.5mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Pulmiprove  62.5 mg 62.5mg
Pulmiprove  125 mg,125mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Pulmiprove  125 mg 125mg
Purified water - Bravo Pharma group,50ml,Bravo Pharma Group,Purified Water for Oral Use,Purified water - Bravo Pharma group 50ml
Purified Water BP 2019,50ml,cetreva eg health care,PURIFIED WATER,Purified Water BP 2019 50ml
Purified Water B.P. 2021,50ml,Spimaco Misr for pharmaceutical industries,Purified Water for Oral Use,Purified Water B.P. 2021 50ml
Quitcool 150 mg,150mg,Hikma pharma,Extended Release Film Coated Tablets,Quitcool 150 mg 150mg
Quitcool 200 mg,200mg,Hikma pharma,Extended Release Film Coated Tablets,Quitcool 200 mg 200mg
Quitcool 300mg,300mg,Hikma pharma,Extended Release Film Coated Tablets,Quitcool 300mg 300mg
Quitcool 50mg,50mg,Hikma pharma,Extended Release Film Coated Tablets,Quitcool 50mg 50mg
Ranycrypt,150mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,Ranycrypt 150mg
Rasiroxpine 125mg,125mg,Hikma pharma,Dispersible Tablet,Rasiroxpine 125mg 125mg
Rasiroxpine 250mg,250mg,Hikma pharma,Dispersible Tablet,Rasiroxpine 250mg 250mg
Rasiroxpine 500mg,500mg,Hikma pharma,Dispersible Tablet,Rasiroxpine 500mg 500mg
Renormalin,1mg/gm,EL SHAMS FOR MANUFACTERING & TRADING PHARMACEUTICAL PRODUCTS,Topical Gel,Renormalin 1mg/gm
Repatoxaban 10 mg,10mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Repatoxaban 10 mg 10mg
Rivastalone,1.5mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Gelatin Capsules,Rivastalone 1.5mg
Rivastalone,3mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Gelatin Capsules,Rivastalone 3mg
Rivastalone,4.5mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Gelatin Capsules,Rivastalone 4.5mg
Rivastalone,6mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Hard Gelatin Capsules,Rivastalone 6mg
Rotasulfamin,10mg/ml,Mira International for Pharmaceuticals & Chemicals,sterile solution for slow I.V.Injection,Rotasulfamin 10mg/ml
Royaverium 50 mg,50mg,royal link pharma,Film Coated Tablets,Royaverium 50 mg 50mg
Savapran 5 mg,5mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Savapran 5 mg 5mg
Washlax,0comb,P and C Labs - Pellets and CR Products,Powder for oral solution,Washlax 0comb
Xalkori,200mg,Pfizer Biopharmaceuticals Egypt LLC,Hard Gelatin Capsules,Xalkori 200mg
Xalkori,250mg,Pfizer Biopharmaceuticals Egypt LLC,Hard Gelatin Capsules,Xalkori 250mg
Xanthibux 40 mg,40mg,Medizen pharmaceutical industries (Medizen),Film Coated Tablets,Xanthibux 40 mg 40mg
Xanthibux,80mg,Medizen pharmaceutical industries (Medizen),Film Coated Tablets,Xanthibux 80mg
Yaz,0comb,Bayer AG,Film Coated Tablets,Yaz 0comb
ZEELORAS,300mg,Pharma-Tech,Film Coated Tablets,ZEELORAS 300mg
Actifed Compound Linctus,0comb,Glaxo smithkline,Oral Syrup,Actifed Compound Linctus 0comb
Actifed Expoctorant,0comb,Glaxo smithkline,Oral Syrup,Actifed Expoctorant 0comb
Alkasilon,0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Oral Suspension,Alkasilon 0comb
Alkor Plus,0comb,SUECAL PHARMACEUTICAL INDUSTRIES-EGYPT,Tablets,Alkor Plus 0comb
Ampiflux 250mg/5ml suspension,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Powder for Oral Suspension,Ampiflux 250mg/5ml suspension 0comb
Apexidone 0.5mg,0.5mg,Apex pharma,Film Coated Tablets,Apexidone 0.5mg 0.5mg
Apexidone,1mg/ml,Apex pharma,Oral Solution,Apexidone 1mg/ml
Actifed,0comb,Glaxo smithkline,Oral Syrup,Actifed 0comb
Avosoya 300,0comb,Trend Pharm for Pharmaceuticals,Hard Gelatin Capsules,Avosoya 300 0comb
Bambedil,10mg,Western Pharmaceuticals Industries,Tablets,Bambedil 10mg
Betasotal,80mg,Chemipharm Pharmaceutical Industries,Tablets,Betasotal 80mg
Betnovate-N,0comb,Glaxo smithkline,Topical Ointment,Betnovate-N 0comb
Betoma,5mg/ml,Alfacure Pharmaceuticals,sterile ophthalmic solution,Betoma 5mg/ml
Borgavirax,200mg/5ml,Borg Pharmaceutical Industries,Oral Suspension,Borgavirax 200mg/5ml
Padcev E.V. 20mg,20mg,Astellas Pharma International B.V.,Powder for concentrate for solution for infusion,Padcev E.V. 20mg 20mg
Padcev E.V. 30mg,30mg,Astellas Pharma International B.V.,Powder for concentrate for solution for infusion,Padcev E.V. 30mg 30mg
Epofoloze Soft Gelatin Capsules,0comb,universal pharmaceutical industries (unipharma),Soft Gelatin Capsule,Epofoloze Soft Gelatin Capsules 0comb
Carateag,0comb,universal pharmaceutical industries (unipharma),Film Coated Tablets,Carateag 0comb
Infliximab BS for I.V. Infusion 100mg (pfizer),100mg,Pfizer Biopharmaceuticals Egypt LLC,lyophilized cake,Infliximab BS for I.V. Infusion 100mg (pfizer) 100mg
Strogenzo,0comb,Minapharm company for pharmaceuticals and chemical industries,Hard Gelatin Capsules,Strogenzo 0comb
gikalide,0comb,"Global Pharma for Manufacturing, Trade of Drugs and Commercial Agencies",Hard Gelatin Capsules,gikalide 0comb
Zytiga 500 mg,500mg,Janssen pharmaceutica NV,Film Coated Tablets,Zytiga 500 mg 500mg
Femivit,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Femivit 0comb
Vitagreen - P,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Vitagreen - P 0comb
Vitagreen - S,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Vitagreen - S 0comb
Vitagreen,0comb,Atos for production of medicinal herbs(Atos pharma),Soft Gelatin Capsule,Vitagreen 0comb
ACT NOW,0comb,Egyptian Group for Pharmaceutical Industries - EGPI,Soft Gelatin Capsule,ACT NOW 0comb
AKNAPALEN,3mg/gm,Egyptian Group for Pharmaceutical Industries - EGPI,Topical Gel,AKNAPALEN 3mg/gm
Okays,0comb,Egyptian Group for Pharmaceutical Industries - EGPI,Soft Gelatin Capsule,Okays 0comb
glycerin adult suppository,1.47gm,Glaxo smithkline,Rectal Suppositories,glycerin adult suppository 1.47gm
Xiclav 1 gm,0comb,Splendid Pharma,Film Coated Tablets,Xiclav 1 gm 0comb
Toty grand syp,0comb,salix pharma 639,Oral Syrup,Toty grand syp 0comb
Cephradine 1 gm Powder for Inj (USP 27),1000mg,South Egypt Drug Industries Co (SEDICO),Powder for injection,Cephradine 1 gm Powder for Inj (USP 27) 1000mg
Herzuma 150 mg,150mg,Hikma for importation,Powder for Concentrate for solution for i.v.Infusion,Herzuma 150 mg 150mg
Herzuma 440mg,440mg,Hikma for importation,Powder for concentrate for solution for infusion,Herzuma 440mg 440mg
Methadensy 1mg/ml,1mg/ml,Egyptian International Pharmaceutical Industries Company (EIPICO),Oral Solution,Methadensy 1mg/ml 1mg/ml
Brivapenta,10mg/ml,penta pharma egypt,Oral Solution,Brivapenta 10mg/ml
Snatchex 10 mg,10mg,Borg Pharmaceutical Industries,Tablets,Snatchex 10 mg 10mg
Snatchex 20 mg,20mg,Borg Pharmaceutical Industries,Film Coated Tablets,Snatchex 20 mg 20mg
Epizithro®,1%,Egyptian International Pharmaceutical Industries Company (EIPICO),Ophthalmic Solution,Epizithro® 1%
Bromhexine hydrochloride unipharma,4mg/5ml,universal pharmaceutical industries (unipharma),Oral Solution,Bromhexine hydrochloride unipharma 4mg/5ml
Hydrosolmaint,0comb,Ghonaim international company for pharmaceutical and cosmetic manufacturing - GIPCCO,Solution For I.V Infusion,Hydrosolmaint 0comb
Epidexone plus,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),sterile ophthalmic solution,Epidexone plus 0comb
Epicrom Plus®,0comb,Egyptian International Pharmaceutical Industries Company (EIPICO),Ophthalmic Suspension,Epicrom Plus® 0comb
Duxalta 30 mg,30mg,SAJA Pharmaceuticals Egypt - SAJA,Delayed release hard gelatin capsules containing enteric coated pellets,Duxalta 30 mg 30mg
Lamitrofarb,200mg,Farabi Group for Drug Trading,Extended release enteric coated tablets,Lamitrofarb 200mg
Expaintech DHC,0comb,Pharma-Tech,Film Coated Tablets,Expaintech DHC 0comb
Veinajelin,20mg/gm,SIGMA PHARMACEUTICAL INDUSTRIES,Topical Gel,Veinajelin 20mg/gm
Unispira-M,0comb,universal pharmaceutical industries (unipharma),Film Coated Tablets,Unispira-M 0comb
Moxiconv,400mg,PPG,Film Coated Tablets,Moxiconv 400mg
Rocoxar 60 mg,60mg,El Delta for Pharmaceutical Industries - Delta Pharma,Film Coated Tablets,Rocoxar 60 mg 60mg
Rocoxar 90 mg,90mg,El Delta for Pharmaceutical Industries - Delta Pharma,Film Coated Tablets,Rocoxar 90 mg 90mg
Rocoxar 120 mg,120mg,El Delta for Pharmaceutical Industries - Delta Pharma,Film Coated Tablets,Rocoxar 120 mg 120mg
Semglee Prefilled Pen,100unit/ml,One Pharma Medics,Solution for injection,Semglee Prefilled Pen 100unit/ml
Aromalock,2.5mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Aromalock 2.5mg
Gypravastin 5 mg,5mg,Gypto Pharma for Pharmaceutical Manufacturing and Trading - GYPTO,Film Coated Tablets,Gypravastin 5 mg 5mg
Gypravastin 10mg,10mg,Gypto Pharma for Pharmaceutical Manufacturing and Trading - GYPTO,Film Coated Tablets,Gypravastin 10mg 10mg
Gypravastin  20 mg,20mg,Gypto Pharma for Pharmaceutical Manufacturing and Trading - GYPTO,Film Coated Tablets,Gypravastin  20 mg 20mg
Gypravastin 40 mg,40mg,Gypto Pharma for Pharmaceutical Manufacturing and Trading - GYPTO,Film Coated Tablets,Gypravastin 40 mg 40mg
Cholecalcital 1000 IU,1000I.U.,Multicare Egypt for Pharmaceutical Industries,Film Coated Tablets,Cholecalcital 1000 IU 1000I.U.
Conventin 600 mg,600mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Conventin 600 mg 600mg
Conventin 800mg,0mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,Conventin 800mg 0mg
Globisolone 40 mg,40mg,Global Pharmaceutical Industries,Lyophilized powder for reconstitution for I.M/I.V injection or I.V infusion,Globisolone 40 mg 40mg
Lergicare 5mg/ml,5mg/ml,AL ESRAA PHARMACEUTICAL OPTIMA-EGYPT,"Oral Drops,Solution",Lergicare 5mg/ml 5mg/ml
Drospinetta,4mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Drospinetta 4mg
fugiborg,0mg/gm,Borg Pharmaceutical Industries,Topical Cream,fugiborg 0mg/gm
Realcoxstar 90  mg,90mg,Tri Star Medical Group,Film Coated Tablets,Realcoxstar 90  mg 90mg
Azacitidine Accord,100mg,U.G.P PHARMA,Lyophilized Powder or Cake for Injection,Azacitidine Accord 100mg
Barcimiant 2mg,2mg,EVAPHARMA for Pharmaceutical Industries ( EVAPHARMA),Film Coated Tablets,Barcimiant 2mg 2mg
Andocaftin,2.5mg/ml,Inco Pharma Egypt,Ophthalmic Solution,Andocaftin 2.5mg/ml
Oframax 500mg,500mg,Sun pharma Egypt limited,Powder for Solution for I.M injection,Oframax 500mg 500mg
Posaconex,300mg/16.7ml,Global Pharmaceutical Industries,solution for slow I.V. Infusion,Posaconex 300mg/16.7ml
Tigepharco,50mg/vial,Pharco B International,Lyophilized Powder for Reconstitution for I.V Infusion,Tigepharco 50mg/vial
Asmatropim 250 mcg,0.25mg,Global Pharmaceutical Industries,Nebulizer Solution,Asmatropim 250 mcg 0.25mg
Asmatropim 500 mcg,0mcg/2ml,Global Pharmaceutical Industries,Nebulizer Solution,Asmatropim 500 mcg 0mcg/2ml
Convarsiotam,100mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Convarsiotam 100mg
Effecturin 80mg,80mg,Western Pharmaceuticals Industries,Film Coated Tablets,Effecturin 80mg 80mg
Westavaron 100 mg,100mg,Western Pharmaceuticals Industries,Chewable Tablets,Westavaron 100 mg 100mg
Anastronate,1mg,Hi Pharm for manufacturing pharmaceuticals and chemicals,Film Coated Tablets,Anastronate 1mg
Gliflozamet 12.5mg/1000mg,0comb,Marcyrl pharmaceutical industries - MPI,Extended Release Film Coated Tablets,Gliflozamet 12.5mg/1000mg 0comb
